gesture,person,sample,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X1.1,X2.1,X3.1,X4.1,X5.1,X6.1,X7.1,X8.1,X9.1,X10.1,X11.1,X12.1,X13.1,X14.1,X15.1,X16.1,X17.1,X18.1,X19.1,X20.1,X1.2,X2.2,X3.2,X4.2,X5.2,X6.2,X7.2,X8.2,X9.2,X10.2,X11.2,X12.2,X13.2,X14.2,X15.2,X16.2,X17.2,X18.2,X19.2,X20.2
up,0,1,0.23747487,0.10564415,0.0262574616842106,0.00619814773684202,0.042646717,0.258156381052632,3.09322212631579,9.33820578947368,12.796559,12.4757674210526,6.3731208,2.52962366842105,0.815713977894739,0.07706337,0.363383126315789,0.531245005263158,1.25623920526316,2.47741598947368,4.30049811578947,6.1399302,0.38576576,-0.08095395,-0.173351232631579,-0.23463176,0.03247136,-0.23463176,0.0214139288421053,-0.6286276,-1.9152117,-2.01001905789474,-1.42134456842105,0.767113256842105,0.796253225263158,0.217376182631579,-0.3402759,-0.450629716842105,-0.49934068,-0.915167799999999,-1.173907,-0.93688107,0.3390788,0.040402155,-0.0916018457894737,-0.129846064736842,-0.3139397,4.42998971052631,9.795278,9.78971747368421,-3.12073959578947,-7.74357292631578,-9.8855095,-9.66276178947368,-6.8194266631579,-3.64109257894737,-2.51084034210526,-2.007538,-2.01356288947368,-2.48598476315789,-2.7027545,-0.7230489
down,0,1,7.2031054,6.103269,4.0179195,-0.027234044,0.004638766,0.07646482,0.25124153,0.6667852,2.1402667,4.3391914,6.4514756,6.330569,3.558083,0.2777274,-0.3309984,-0.3309984,-0.04833295,0.045938745,0.045938745,-0.052971713,-0.79292965,-0.4417302,-0.009427169,-0.009427169,-0.02064999,-0.011671733,0.019752163,0.031573534,0.040851068,-0.23642741,-0.4487632,-0.23642741,-0.7505822,-0.7505822,-1.3069348,-0.7589619,0.030825347,0.030825347,-0.22355859,-0.24076691,-0.3345897,1.2208933,1.2208933,0.004938041,-0.07616554,-0.7459435,-2.1897967,-5.125387,-6.971317,-6.971317,-1.3513772,5.231181,6.9325604,5.245846,3.8187518,0.34252048,-0.3139397,0.31364042,0.31364042,-0.15337855
square,0,1,0.07870938,0.0430089973157895,0.0852225515789474,0.818037304210526,1.06556942105263,0.29942486,2.2873604,0.0963981201052644,-0.66753334,1.45208332105263,2.00497052631579,0.268449872105263,2.5260324,1.32189862105263,1.2568063,0.646654996842108,-0.4890157,0.053475755,0.40880993,-0.09891048,-0.007631518,0.0290611983157895,0.14021043,2.60589156842105,1.32719895263158,-3.57333033157895,-0.877868724210527,-1.16565336315789,-3.15724333157894,-2.1059838631579,3.726126,0.444683583684209,0.12584522,0.144502676842104,2.5987563,-3.6543,-0.232426584210527,0.18914193,-0.028580783,0.39339727,-0.3446154,-0.049530048,0.049230773,0.5790975,0.105833163684211,-1.93208930526316,-3.06773623684211,3.41918,0.478005534736845,0.918365387368421,0.5460276,5.895871,-2.08860226315789,-2.44406255789475,0.364556592631594,-0.540837563157896,0.056563016,0.0656515331578947,-0.15771803,0.4055179
triangle,0,1,-0.121056825,0.188251981052632,0.675598054736842,1.40308094210526,1.98273762105263,2.453907,2.28669898947368,0.516029233157896,0.929202310526316,3.3556232,3.27113327368421,2.3533506,4.46930516842105,4.43289603157895,1.97787048421053,0.585209042105263,-0.114772044,-0.13811551,-0.00690695642105209,0.252289,-0.22161329,-0.29747957,0.43158636,0.44516400631579,0.45444942,-0.0950198776315788,-3.83426684210526,-4.92293542631579,-6.687604,-1.40077337368421,4.0915413,3.27427552631579,1.50251127894737,-1.63183745263158,-2.7274446,-1.72772363684211,-0.667399489473684,-0.668801331578948,-0.12090719,-0.4700117,0.093972415,-0.100477714,-0.764695415789474,-2.31820934736842,-2.80955633684211,-1.20555146736842,3.6800377,2.14867001578948,-1.8439842,0.417425917894738,1.16451922105263,5.64999310526315,8.36739563157894,-3.02998829473684,-6.37127,-3.38099084210526,-0.288343783684211,0.248382674210526,0.27039516,0.30526072
circleCw,0,1,0.95109665,0.517509868421053,0.455709518421053,0.9000702,1.78752361052632,2.84096448421053,3.58812069473684,5.0262168,5.44789586315789,5.472247,3.76376387368421,2.65648501578947,1.86895005263158,0.53594680736842,-0.36182374,-0.36182374,-1.5090953,-1.30569838421053,-0.55245417368421,-0.272939,-1.0564415,-0.049530048,-0.00013388557894739,-1.15683254210526,-5.48886488421053,-7.64653661578947,-8.200291,-8.66993994736842,-8.36876626315789,-1.87384092631579,3.16672548421053,3.07176863157895,1.15143774210527,-0.890847794736842,-3.19200654210526,-5.2652984,-3.91818983157895,-2.35858004210526,-1.78525543157895,-1.6036662,-0.36227265,0.13617022,-0.651860788421053,-3.62493172105263,-3.51812978947368,-1.6180314,-1.24051932631579,0.129901195526315,4.27472128421053,5.57630865789474,4.69799841578947,0.954459505263158,-3.0789433368421,-4.2956467,-4.05721893157895,0.0162081126315875,0.893714547368421,-0.0350152,-0.086608672105263,0.15831658
circleCcw,0,1,-0.34012628,-0.40596682,-0.0295573605263159,0.80195519,3.83166005263158,6.13189706315789,7.285556,7.37173142105263,7.561338,7.40416332631579,3.8907825,2.1522377,2.624494,2.34111187894737,2.27431049473684,1.77707253684211,1.7132009,0.975503315789475,0.51669866,0.66947865,-1.5230116,-1.80811055789474,-1.58670996842105,0.29703852,1.82647660526316,4.98551535263158,6.51991531578947,7.242161,5.40409918421053,2.51896012105264,-2.89173088421052,-4.6040497,-2.67028313684211,1.32919146315789,4.04542902105263,5.6091657,5.11862985263158,3.39439527894737,2.17013114736842,1.2630911,0.21218613,0.007631518,0.08095395,-2.98729433157895,-3.39597805263158,-3.31367752631579,-1.12308536105263,-0.71122754,1.52697303157894,5.0022435,4.26386842105264,1.54205488421053,-1.89070264736842,-4.3742065,-3.70753942105263,-0.0258164236842099,1.5976807,0.976566531578949,0.250288581052632,0.20859483
left,0,2,-0.40043023,0.515517296842105,1.36010347894737,3.92108797894737,7.62295710526316,10.00507,10.00507,9.31045152631579,6.49683178947368,3.89159372631579,1.6947955,1.66595484736842,1.3394063,1.32419051052632,1.02026071052632,0.732027194736842,0.592116,0.592116,0.702052405263158,0.7101801,-0.8607155,-3.02778306842105,-7.66335904736842,-7.770531,-6.61083197368421,-0.19606461947368,2.06383333157895,5.67514805263158,6.7034655,6.43430684736842,4.78180378947368,0.992050068421053,-1.34556499789474,-1.4689924,-1.08678640526316,-0.8499101,-0.7823054,-0.7718308,-0.755961330526316,-0.74863696,0.61890113,0.596502741578947,0.574104353157895,0.659964854736842,0.69087684,1.05737868947368,1.1201872,0.926650571052632,0.173619006842105,-0.0584531734736842,-0.0569174205263158,-0.06688801,-0.045741852368421,0.032022447210527,0.542302434736842,0.55096567,0.398571575263158,0.317302618947368,0.183022539473684,0.11222821
right,0,2,0.6254852,0.588816105263158,0.552320284210526,-0.12928689,0.0260448221052632,0.789495870526316,1.47557645789474,2.34247428421053,4.02643301052632,5.67610094736842,7.755418,7.755418,3.65562307368421,1.49162708947368,0.721347795789474,0.30567813368421,0.24555531,0.2709937,0.37618893,0.41958386,-0.7480384,-0.938826342105263,-1.1933599,0.30607978,1.01947313684211,2.70348673684211,3.11336,3.11422623684211,2.34026126315789,1.01710251052632,-0.67562956757895,-4.42058632105263,-7.09342118947368,-7.10147796315789,-4.86478168421053,-2.94905787368421,-1.42847998421053,-0.380465423157894,-0.15278,0.13452421,0.33877954,0.326178495789474,0.2964321,0.2964321,0.3084031,0.278396831578947,0.16385318,0.502514570526316,1.2674305,1.2674305,0.0942323031578929,-0.851004821052632,-1.12031309473684,-1.07646928421053,0.0849941584210526,0.40207624,0.330045417368421,-0.214659084736843,-0.27084407,-0.08364742
up,0,2,0.4691139,0.39998132,0.39998132,0.358303319473684,0.10474633,0.086703177368421,-0.0246902057894735,-0.03067571,1.82161735263158,8.26824938947368,12.855367,11.9028372105263,7.75678068421053,4.0527772,1.01457442105263,-0.324390697894737,-0.328360031578947,0.0976503515789474,0.10010756,-0.107739076,-0.11581951,0.21757308,0.352703709473684,0.39100307,0.0537199,0.037259765,0.11686697,0.364107677894737,0.8478467,0.391262993684213,-0.882838254736842,-1.11290210526316,-0.89731372,0.3139397,0.55560446,0.42751464,0.185503373684211,0.1894412,0.1894412,0.034117375,0.34087452,0.3393781,0.293919762105263,0.177021287894737,-0.162600945789474,-0.478021267368421,-0.4973954,4.17748026842105,9.797373,9.797373,-0.757867234736848,-6.70587542105263,-8.43148821052631,-8.566604,-7.14886570526316,-3.58128471578947,-0.551965870526316,0.61022216,0.61022216,0.38606504
down,0,2,-0.18974048,0.009127894,0.0210358968421053,0.0754015978947368,0.025288755,0.302338851578947,2.64976701578948,5.74932115789474,11.51207,11.51207,6.37412878421052,0.417481042105264,-0.22729953,-0.129956331368419,0.30526072,0.134831356842105,0.06135142,0.018555064,0.08304887,0.29314008,-0.19886838,-0.0626824050526316,0.0407171826315789,-0.290438728421053,-0.326462,-0.7293337,-1.14831105263158,-0.742738066842105,-0.500978806315789,1.7320553,1.65371606842105,-1.5056536,-1.30700575789474,-0.567244680526313,0.185290738947368,0.120521276842105,0.0467814415789469,-0.5056255,-0.5247791,-0.5609914,-0.14065935,0.46223056,0.46223056,0.307410778947368,0.00982095473684198,-1.88838721052632,-9.622296,-9.55708589473684,-4.3043967,5.63003625263159,8.463353,6.72276897894737,1.48015216842105,-0.42527008,-0.50698011,-0.394901523157895,0.0531134744736843,0.188858416842106,0.20799628,0.02454059
